"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 27 11:41:28 GMT 2021","Fri Aug 27 11:41:47 GMT 2021","18789","","","","","","Загрузка изображения и проверка результатов выдачи",""
"passed","Fri Aug 27 11:41:29 GMT 2021","Fri Aug 27 11:41:47 GMT 2021","18358","","Поиск по картинке","","Загрузка изображения и проверка результатов выдачи","","Загрузка изображения и проверка результатов выдачи","  Поиск по картинке среди результатов должен выдать текстовое описание того, что на ней изображено"
