"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 27 12:03:22 GMT 2021","Fri Aug 27 12:03:39 GMT 2021","16195","","Поиск по картинке","","Загрузка изображения и проверка результатов выдачи","","Загрузка изображения и проверка результатов выдачи","  Поиск по картинке среди результатов должен выдать текстовое описание того, что на ней изображено"
"passed","Fri Aug 27 12:03:22 GMT 2021","Fri Aug 27 12:03:39 GMT 2021","16582","","","","","","Загрузка изображения и проверка результатов выдачи",""
