"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Поиск по картинке","Загрузка изображения и проверка результатов выдачи","0","0","1","0","0"
"","","","0","0","1","0","0"
